"Path","Lines"
"features\quiz_management\screens\bulk_similar_management_screen.dart","557"
"features\quiz_management\viewmodels\quiz_extraction_step2_viewmodel.dart","509"
"features\trees\screens\tree_lookalike_detail_screen.dart","495"
"features\trees\screens\tree_group_management_screen.dart","449"
"features\quiz_management\screens\quiz_extraction_step2_screen.dart","424"
"features\quiz_management\screens\bulk_extraction_screen.dart","420"
"features\quiz_management\repositories\quiz_repository.dart","345"
"features\quiz_management\screens\widgets\quiz_extraction\unified_extraction_header.dart","329"
"features\quiz_management\widgets\single_image_manager_dialog.dart","326"
"features\trees\repositories\master_tree_repository.dart","322"
"features\trees\screens\widgets\tree_selection_modal.dart","302"
"features\quiz_management\widgets\image_manager_dialog.dart","289"
"features\trees\viewmodels\add_tree_viewmodel.dart","287"
"features\quiz_management\viewmodels\bulk_extraction_viewmodel.dart","272"
"features\quiz_management\screens\widgets\bulk_extraction\bulk_extraction_filter_panel.dart","256"
"features\dashboard\repositories\system_settings_repository.dart","256"
"features\quiz_management\screens\widgets\quiz_extraction\3_question_explanation_module.dart","248"
"features\trees\screens\widgets\sourcing_image_slot.dart","246"
"features\quiz_management\viewmodels\quiz_review_detail_viewmodel.dart","241"
"features\quiz_management\screens\widgets\similar_quiz_review_dialog.dart","231"
"features\trees\viewmodels\parts\tree_sourcing_viewmodel_detail.part.dart","227"
"features\quiz_management\screens\quiz_review_detail_screen.dart","221"
"features\dashboard\widgets\user_detail_tabs.dart","216"
"features\tree_registration\viewmodels\tree_registration_viewmodel.dart","214"
"features\dashboard\viewmodels\settings_viewmodel.dart","210"
"features\trees\screens\widgets\list_parts\tree_list_item.dart","207"
"features\dashboard\widgets\settings_drive_card.dart","205"
"features\trees\screens\widgets\tree_sourcing\species_selection_section.dart","202"
