"Path","Lines"
"node_modules\@types\node\crypto.d.ts","4545"
"node_modules\@types\node\fs.d.ts","4461"
"node_modules\@types\node\inspector.generated.d.ts","4052"
"node_modules\@types\node\http2.d.ts","2644"
"node_modules\@types\node\util.d.ts","2606"
"node_modules\@types\node\test.d.ts","2162"
"node_modules\@types\node\process.d.ts","2089"
"node_modules\@types\node\http.d.ts","2089"
"node_modules\@types\node\buffer.d.ts","1934"
"node_modules\@types\node\stream.d.ts","1664"
"node_modules\@types\node\child_process.d.ts","1476"
"node_modules\@types\node\tls.d.ts","1319"
"node_modules\@types\node\fs\promises.d.ts","1295"
"node_modules\@types\express-serve-static-core\index.d.ts","1281"
"node_modules\@types\node\assert.d.ts","1078"
"node_modules\@types\node\net.d.ts","1057"
"src\modules\quiz\quiz.service.ts","1033"
"node_modules\@types\node\vm.d.ts","1000"
"node_modules\@types\node\url.d.ts","984"
"node_modules\@types\node\events.d.ts","976"
"node_modules\@types\node\perf_hooks.d.ts","968"
"node_modules\@types\node\dns.d.ts","923"
"node_modules\@types\node\v8.d.ts","920"
"node_modules\@types\node\module.d.ts","891"
"node_modules\@types\node\worker_threads.d.ts","784"
"node_modules\@types\node\sqlite.d.ts","721"
"src\types\database.types.ts","687"
"node_modules\@types\node\zlib.d.ts","683"
"node_modules\@types\node\stream\web.d.ts","622"
"node_modules\@types\node\async_hooks.d.ts","603"
"node_modules\@types\node\dgram.d.ts","600"
"node_modules\@types\node\readline.d.ts","594"
"node_modules\@types\node\https.d.ts","579"
"node_modules\@types\node\cluster.d.ts","578"
"node_modules\@types\node\diagnostics_channel.d.ts","578"
"node_modules\@types\node\os.d.ts","506"
"node_modules\@types\node\dns\promises.d.ts","503"
"src\modules\quiz\quiz.controller.ts","491"
"src\modules\trees\trees.service.ts","484"
"node_modules\@types\node\buffer.buffer.d.ts","472"
"node_modules\@types\node\ts5.6\buffer.buffer.d.ts","468"
"node_modules\@types\node\console.d.ts","440"
"scripts\seed_trees_with_images.ts","433"
"node_modules\@types\node\repl.d.ts","428"
"src\modules\quiz_user\quiz_user.service.ts","328"
"src\modules\external\external.controller.ts","320"
"node_modules\@types\multer\index.d.ts","316"
"scripts\sync_all_tree_images.ts","294"
"node_modules\@types\node\timers.d.ts","287"
"node_modules\undici-types\dispatcher.d.ts","256"
"node_modules\@types\node\inspector.d.ts","253"
"scripts\migrate_missing_image_hints.ts","231"
"node_modules\undici-types\webidl.d.ts","228"
"node_modules\@types\send\index.d.ts","225"
"src\modules\settings\settings.service.ts","220"
"scripts\compare_hints.ts","219"
"src\modules\settings\settings.controller.ts","210"
"node_modules\undici-types\fetch.d.ts","209"
"node_modules\@types\node\tty.d.ts","208"
"scripts\update_tree_hints_batch.ts","202"
