"Path","Lines"
"modules\quiz\quiz.service.ts","1033"
"types\database.types.ts","687"
"modules\quiz\quiz.controller.ts","491"
"modules\trees\trees.service.ts","484"
"modules\quiz_user\quiz_user.service.ts","328"
"modules\external\external.controller.ts","320"
"modules\settings\settings.service.ts","220"
"modules\settings\settings.controller.ts","210"
"modules\uploads\uploads.controller.ts","194"
"modules\quiz_user\quiz_user.controller.ts","182"
"modules\stats\services\stats_admin.service.ts","178"
"modules\trees\trees.controller.ts","169"
"config\geminiClient.ts","156"
"modules\tree-groups\tree-groups.service.ts","156"
"modules\users\users.service.ts","154"
"modules\external\google_drive.service.ts","116"
"modules\external\google_drive_file.service.ts","106"
"modules\uploads\uploads.service.ts","104"
"modules\tree-groups\tree-groups.controller.ts","94"
"repair_shingal_flower.ts","85"
"modules\stats\services\stats_user.service.ts","83"
"modules\users\users.controller.ts","79"
"modules\stats\stats.controller.ts","76"
"modules\external\google_drive_auth.service.ts","73"
"modules\quiz\quiz.routes.ts","72"
"batch_update_categories.ts","67"
"scripts\check_images.ts","66"
"modules\settings\settings.routes.ts","64"
"modules\tree-registration\tree-registration.controller.ts","63"
"temp_extract_categories.ts","62"
"modules\uploads\uploads.routes.ts","54"
"middleware\verifyAdmin.ts","52"
"utils\logger.ts","51"
"modules\trees\trees.routes.ts","50"
"scripts\clear_quiz.ts","48"
"app.ts","46"
"modules\system\system.controller.ts","44"
"diagnose_db.ts","42"
"modules\quiz_user\quiz_user.routes.ts","42"
"modules\stats\stats.routes.ts","41"
"modules\trees\trees.dto.ts","39"
"scripts\check_settings_dump.ts","36"
"scripts\check_columns.ts","35"
"scripts\cross_check_folders.ts","35"
"utils\drive-helper.ts","33"
"check_schema.ts","33"
"index.ts","33"
"scripts\verify_db_settings.ts","32"
"middleware\verifyUser.ts","32"
"scripts\test_endpoint.ts","31"
"scripts\search_quiz_file.ts","31"
"utils\response.ts","31"
"scripts\check_settings.ts","30"
"scripts\list_quiz_files_full.ts","29"
"modules\system\system.routes.ts","28"
"scripts\check_settings_full.ts","28"
"modules\external\external.routes.ts","28"
"verify_drive_status.ts","27"
"check_insert.ts","27"
"scripts\search_exact.ts","26"
"modules\users\users.routes.ts","26"
"scripts\list_all_visible_files.ts","25"
"scripts\list_quiz_files.ts","24"
"scripts\filter_quiz_files.ts","24"
"scripts\list_drive_files.ts","24"
"scripts\test_id_extraction.ts","23"
"scripts\test_search_contains.ts","23"
"scripts\check_folder_access.ts","23"
"scripts\list_quiz_files_v2.ts","21"
"scripts\dump_quiz_filenames.ts","21"
"modules\ai\ai.service.ts","20"
"scripts\check_settings_all.ts","20"
"scripts\check_count.ts","16"
"modules\tree-groups\tree-groups.routes.ts","16"
"modules\ai\ai.controller.ts","15"
"modules\tree-registration\tree-registration.dto.ts","15"
"modules\users\users.dto.ts","13"
"modules\tree-registration\tree-registration.routes.ts","12"
"modules\ai\ai.routes.ts","10"
"modules\uploads\uploads.types.ts","6"
"config\supabaseClient.ts","6"
"modules\uploads\uploads.dto.ts","4"
"modules\users\index.ts","3"
"test-multer.ts","2"
"modules\trees\index.ts","1"
